發生年度,發生月份,發生日期,發生時間,發生地點,發生縣市,發生區鄉,天候名稱,道路類別,事故位置子類別名稱,事故類型及型態子類別名稱,肇因研判子類別名稱,死亡人數,受傷人數,當事者車種,當事者屬-性-別名稱,當事者事故發生時年齡,是否使用3C產品
2023,1,20230105,19,屏東縣屏東市海豐街86-10號前0.0公尺,屏東縣,屏東市,晴,市區道路,快車道,穿越道路中,未注意車前狀態,1,2,人,男,75,非駕駛人
2023,1,20230105,19,屏東縣屏東市海豐街86-10號前0.0公尺,屏東縣,屏東市,晴,市區道路,快車道,穿越道路中,未注意車前狀態,1,2,人,女,68,非駕駛人
2023,1,20230105,19,屏東縣屏東市海豐街86-10號前0.0公尺,屏東縣,屏東市,晴,市區道路,快車道,穿越道路中,未注意車前狀態,1,2,不明,無或物(動物、堆置物),-1,不明
2023,1,20230106,6,臺中市大甲區文曲路口 / 臺中市大甲區文曲路口,臺中市,大甲區,陰,市區道路,一般車道(未劃分快慢車道),撞路樹、電桿,不明原因肇事,1,0,機車,男,36,未使用
2023,1,20230106,6,臺中市大甲區文曲路口 / 臺中市大甲區文曲路口,臺中市,大甲區,陰,市區道路,一般車道(未劃分快慢車道),撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),0,不明
2023,1,20230106,12,彰化縣北斗鎮七星里陶朱路前0.0公尺,彰化縣,北斗鎮,晴,村里道路,交叉路口內,路口交岔撞,不明原因肇事,1,0,小客車,男,20,不明
2023,1,20230106,12,彰化縣北斗鎮七星里陶朱路前0.0公尺,彰化縣,北斗鎮,晴,村里道路,交叉路口內,路口交岔撞,不明原因肇事,1,0,機車,男,67,不明
2023,1,20230106,12,臺南市南化區台20線往南化淨水廠產業道路0.4公里處,臺南市,南化區,晴,市區道路,路肩、路緣,撞路樹、電桿,未注意車前狀態,1,0,機車,女,74,不明
2023,1,20230106,12,臺南市南化區台20線往南化淨水廠產業道路0.4公里處,臺南市,南化區,晴,市區道路,路肩、路緣,撞路樹、電桿,未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230106,18,彰化縣社頭鄉泰安村山腳路3段118號前0.0公尺,彰化縣,社頭鄉,晴,村里道路,一般車道(未劃分快慢車道),其他,橫越道路不慎,1,1,機車,男,63,不明
2023,1,20230106,18,彰化縣社頭鄉泰安村山腳路3段118號前0.0公尺,彰化縣,社頭鄉,晴,村里道路,一般車道(未劃分快慢車道),其他,橫越道路不慎,1,1,機車,男,22,不明
2023,1,20230107,5,桃園市新屋區社子里9鄰社福路785巷旁,桃園市,新屋區,晴,市區道路,一般車道(未劃分快慢車道),撞動物,未注意車前狀態,1,0,機車,男,62,未使用
2023,1,20230107,5,桃園市新屋區社子里9鄰社福路785巷旁,桃園市,新屋區,晴,市區道路,一般車道(未劃分快慢車道),撞動物,未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230107,10,宜蘭縣壯圍鄉壯濱路2段22號前0.0公尺,宜蘭縣,壯圍鄉,陰,村里道路,一般車道(未劃分快慢車道),其他,橫越道路不慎,1,0,機車,男,94,未使用
2023,1,20230107,10,宜蘭縣壯圍鄉壯濱路2段22號前0.0公尺,宜蘭縣,壯圍鄉,陰,村里道路,一般車道(未劃分快慢車道),其他,橫越道路不慎,1,0,小貨車(含客、貨兩用),男,31,未使用
2023,1,20230107,17,臺中市東勢區東坑路口 / 臺中市東勢區東坑路口,臺中市,東勢區,晴,市區道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,1,機車,男,32,未使用
2023,1,20230107,17,臺中市東勢區東坑路口 / 臺中市東勢區東坑路口,臺中市,東勢區,晴,市區道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,1,機車,男,22,未使用
2023,1,20230107,19,南投縣南投市縣150線 42公里700.0公尺處附近,南投縣,南投市,晴,縣道,一般車道(未劃分快慢車道),路上翻車、摔倒,酒醉(後)駕駛失控,1,0,機車,男,64,未使用
2023,1,20230107,19,南投縣南投市縣150線 42公里700.0公尺處附近,南投縣,南投市,晴,縣道,一般車道(未劃分快慢車道),路上翻車、摔倒,酒醉(後)駕駛失控,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230107,19,南投縣南投市縣150線 42公里700.0公尺處附近,南投縣,南投市,晴,縣道,一般車道(未劃分快慢車道),路上翻車、摔倒,酒醉(後)駕駛失控,1,0,小客車,男,36,不明
2023,1,20230107,23,桃園市觀音區長興路口 / 桃園市觀音區莊敬路口,桃園市,觀音區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,機車,女,55,未使用
2023,1,20230107,23,桃園市觀音區長興路口 / 桃園市觀音區莊敬路口,桃園市,觀音區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,小貨車(含客、貨兩用),男,25,未使用
2023,1,20230108,20,雲林縣口湖鄉後厝村雲146線公路(水銀燈桿編號100282),雲林縣,口湖鄉,晴,村里道路,一般車道(未劃分快慢車道),其他,未注意車前狀態,1,0,機車,男,44,不明
2023,1,20230108,20,雲林縣口湖鄉後厝村雲146線公路(水銀燈桿編號100282),雲林縣,口湖鄉,晴,村里道路,一般車道(未劃分快慢車道),其他,未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230108,23,新北市新莊區新北市新莊區中正路255644燈桿(輔大站3號出口),新北市,新莊區,晴,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,不明原因肇事,1,0,機車,男,33,未使用
2023,1,20230108,23,新北市新莊區新北市新莊區中正路255644燈桿(輔大站3號出口),新北市,新莊區,晴,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),0,不明
2023,1,20230109,3,雲林縣四湖鄉溪尾村雲128鄉道,雲林縣,四湖鄉,陰,村里道路,一般車道(未劃分快慢車道),撞路樹、電桿,其他引起事故之違規或不當行為,1,0,小貨車(含客、貨兩用),男,63,不明
2023,1,20230109,3,雲林縣四湖鄉溪尾村雲128鄉道,雲林縣,四湖鄉,陰,村里道路,一般車道(未劃分快慢車道),撞路樹、電桿,其他引起事故之違規或不當行為,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230109,10,宜蘭縣羅東鎮圳邊路旁(圳21號燈桿)前,宜蘭縣,羅東鎮,晴,村里道路,一般車道(未劃分快慢車道),穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,1,人,男,69,非駕駛人
2023,1,20230109,10,宜蘭縣羅東鎮圳邊路旁(圳21號燈桿)前,宜蘭縣,羅東鎮,晴,村里道路,一般車道(未劃分快慢車道),穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,1,機車,男,43,未使用
2023,1,20230109,11,嘉義縣東石鄉三家村台61線平面道路與嘉3線路口,嘉義縣,東石鄉,晴,鄉道,交叉路口內,路口交岔撞,違反號誌管制或指揮,2,0,機車,男,83,未使用
2023,1,20230109,11,嘉義縣東石鄉三家村台61線平面道路與嘉3線路口,嘉義縣,東石鄉,晴,鄉道,交叉路口內,路口交岔撞,違反號誌管制或指揮,2,0,小貨車(含客、貨兩用),男,51,未使用
2023,1,20230109,11,嘉義縣東石鄉三家村台61線平面道路與嘉3線路口,嘉義縣,東石鄉,晴,鄉道,交叉路口內,路口交岔撞,違反號誌管制或指揮,2,0,人,女,81,非駕駛人
2023,1,20230109,14,雲林縣麥寮鄉麥津村中山路,雲林縣,麥寮鄉,晴,村里道路,交叉路口內,側撞,未依規定讓車,1,0,機車,男,78,未使用
2023,1,20230109,14,雲林縣麥寮鄉麥津村中山路,雲林縣,麥寮鄉,晴,村里道路,交叉路口內,側撞,未依規定讓車,1,0,大貨車,男,33,不明
2023,1,20230109,15,南投縣草屯鎮加老里芬草路三段363巷口,南投縣,草屯鎮,晴,省道,交叉路口內,路口交岔撞,違反號誌管制或指揮,1,0,機車,男,78,未使用
2023,1,20230109,15,南投縣草屯鎮加老里芬草路三段363巷口,南投縣,草屯鎮,晴,省道,交叉路口內,路口交岔撞,違反號誌管制或指揮,1,0,大貨車,男,48,未使用
2023,1,20230109,15,雲林縣西螺鎮新豐里新吉街76號前0.0公尺,雲林縣,西螺鎮,陰,村里道路,一般車道(未劃分快慢車道),側撞,左轉彎未依規定,1,0,其他車,男,28,未使用
2023,1,20230109,15,雲林縣西螺鎮新豐里新吉街76號前0.0公尺,雲林縣,西螺鎮,陰,村里道路,一般車道(未劃分快慢車道),側撞,左轉彎未依規定,1,0,機車,男,36,未使用
2023,1,20230110,5,嘉義縣溪口鄉妙崙村嘉91線1.55公里處,嘉義縣,溪口鄉,晴,鄉道,快車道,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,人,女,78,非駕駛人
2023,1,20230110,5,嘉義縣溪口鄉妙崙村嘉91線1.55公里處,嘉義縣,溪口鄉,晴,鄉道,快車道,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,小貨車(含客、貨兩用),女,59,未使用
2023,1,20230110,7,桃園市楊梅區金溪路209巷口附近50公尺處),桃園市,楊梅區,晴,村里道路,一般車道(未劃分快慢車道),穿越道路中,未注意車前狀態,1,0,小客車,男,38,未使用
2023,1,20230110,7,桃園市楊梅區金溪路209巷口附近50公尺處),桃園市,楊梅區,晴,村里道路,一般車道(未劃分快慢車道),穿越道路中,未注意車前狀態,1,0,人,男,66,非駕駛人
2023,1,20230110,9,雲林縣大埤鄉大德村前寮25北6西6電桿附近的產業道路,雲林縣,大埤鄉,晴,村里道路,一般車道(未劃分快慢車道),其他,不明原因肇事,1,0,慢車,女,73,未使用
2023,1,20230110,9,雲林縣大埤鄉大德村前寮25北6西6電桿附近的產業道路,雲林縣,大埤鄉,晴,村里道路,一般車道(未劃分快慢車道),其他,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230110,14,臺南市龍崎區縣182線 27公里500.0公尺處北側向外側,臺南市,龍崎區,晴,縣道,一般車道(未劃分快慢車道),追撞,未保持行車安全距離,1,0,機車,男,21,未使用
2023,1,20230110,14,臺南市龍崎區縣182線 27公里500.0公尺處北側向外側,臺南市,龍崎區,晴,縣道,一般車道(未劃分快慢車道),追撞,未保持行車安全距離,1,0,大貨車,男,39,未使用
2023,1,20230110,14,臺南市北區忠義路三段50號,臺南市,北區,晴,市區道路,快車道,同向擦撞,未注意車前狀態,1,0,機車,男,55,未使用
2023,1,20230110,14,臺南市北區忠義路三段50號,臺南市,北區,晴,市區道路,快車道,同向擦撞,未注意車前狀態,1,0,小客車,女,54,未使用
2023,1,20230110,22,彰化縣彰化市平和里線東路1段 / 彰化縣彰化市平和里環河街,彰化縣,彰化市,陰,市區道路,交叉路口內,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,人,女,61,非駕駛人
2023,1,20230110,22,彰化縣彰化市平和里線東路1段 / 彰化縣彰化市平和里環河街,彰化縣,彰化市,陰,市區道路,交叉路口內,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,小客車,男,22,未使用
2023,1,20230110,23,南投縣水里鄉台16線 28公里附近,南投縣,水里鄉,晴,省道,一般車道(未劃分快慢車道),撞路樹、電桿,不明原因肇事,1,0,機車,男,69,未使用
2023,1,20230110,23,南投縣水里鄉台16線 28公里附近,南投縣,水里鄉,晴,省道,一般車道(未劃分快慢車道),撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230110,23,南投縣埔里鎮西安路一段555巷15號附近,南投縣,埔里鎮,晴,市區道路,一般車道(未劃分快慢車道),衝出路外,不明原因肇事,1,0,其他車,男,38,不明
2023,1,20230110,23,南投縣埔里鎮西安路一段555巷15號附近,南投縣,埔里鎮,晴,市區道路,一般車道(未劃分快慢車道),衝出路外,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230111,5,臺北市北投區中央北路3段72號前0.0公尺,臺北市,北投區,陰,市區道路,一般車道(未劃分快慢車道),穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,1,人,女,85,非駕駛人
2023,1,20230111,5,臺北市北投區中央北路3段72號前0.0公尺,臺北市,北投區,陰,市區道路,一般車道(未劃分快慢車道),穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,1,機車,男,81,未使用
2023,1,20230111,7,彰化縣鹿港鎮溝墘里棋盤巷96號前0.0公尺,彰化縣,鹿港鎮,陰,村里道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,小貨車(含客、貨兩用),男,40,不明
2023,1,20230111,7,彰化縣鹿港鎮溝墘里棋盤巷96號前0.0公尺,彰化縣,鹿港鎮,陰,村里道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,機車,男,27,不明
2023,1,20230111,15,臺南市後壁區竹新里段產業道路〈營竹高幹52右7C1A5往西約250公尺處路口〉,臺南市,後壁區,晴,市區道路,交叉路口內,側撞,未依規定讓車,1,0,機車,男,87,未使用
2023,1,20230111,15,臺南市後壁區竹新里段產業道路〈營竹高幹52右7C1A5往西約250公尺處路口〉,臺南市,後壁區,晴,市區道路,交叉路口內,側撞,未依規定讓車,1,0,小客車,男,32,使用免持或未有礙駕駛安全
2023,1,20230111,15,桃園市大溪區介壽路口 / 桃園市大溪區介壽路口,桃園市,大溪區,晴,市區道路,交叉口附近,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,人,女,90,非駕駛人
2023,1,20230111,15,桃園市大溪區介壽路口 / 桃園市大溪區介壽路口,桃園市,大溪區,晴,市區道路,交叉口附近,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,曳引車,男,52,未使用
2023,1,20230111,18,桃園市平鎮區雙福路一段66號前0.0公尺附近,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),其他,其他引起事故之違規或不當行為,1,0,小貨車(含客、貨兩用),男,71,未使用
2023,1,20230111,18,桃園市平鎮區雙福路一段66號前0.0公尺附近,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),其他,其他引起事故之違規或不當行為,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230111,18,桃園市平鎮區雙福路一段66號前0.0公尺附近,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),其他,其他引起事故之違規或不當行為,1,0,機車,男,74,未使用
2023,1,20230111,18,桃園市平鎮區雙福路一段66號前0.0公尺附近,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),其他,其他引起事故之違規或不當行為,1,0,小客車,男,23,未使用
2023,1,20230111,20,臺東縣臺東市吉林路二段560號前(路燈編號010014),臺東縣,臺東市,雨,市區道路,快車道,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,人,女,68,非駕駛人
2023,1,20230111,20,臺東縣臺東市吉林路二段560號前(路燈編號010014),臺東縣,臺東市,雨,市區道路,快車道,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,0,小客車,男,70,未使用
2023,1,20230111,23,桃園市平鎮區中興路平鎮段110號前0.0公尺,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,超速失控,1,2,小客車,男,33,未使用
2023,1,20230111,23,桃園市平鎮區中興路平鎮段110號前0.0公尺,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,超速失控,1,2,不明,無或物(動物、堆置物),-1,不明
2023,1,20230111,23,桃園市平鎮區中興路平鎮段110號前0.0公尺,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,超速失控,1,2,不明,無或物(動物、堆置物),-1,不明
2023,1,20230111,23,桃園市平鎮區中興路平鎮段110號前0.0公尺,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,超速失控,1,2,人,男,-1,未使用
2023,1,20230111,23,桃園市平鎮區中興路平鎮段110號前0.0公尺,桃園市,平鎮區,陰,市區道路,一般車道(未劃分快慢車道),撞號誌、標誌桿,超速失控,1,2,人,男,-1,未使用
2023,1,20230112,4,金門縣金寧鄉頂埔下38-1號前路段(環島西路2段),金門縣,金寧鄉,陰,鄉道,交叉口附近,追撞,酒醉(後)駕駛失控,1,0,小客車,男,36,不明
2023,1,20230112,4,金門縣金寧鄉頂埔下38-1號前路段(環島西路2段),金門縣,金寧鄉,陰,鄉道,交叉口附近,追撞,酒醉(後)駕駛失控,1,0,機車,男,74,不明
2023,1,20230112,5,基隆市中正區中正路附近 / 基隆市中正區中正路附近,基隆市,中正區,晴,市區道路,交叉口附近,其他,不明原因肇事,1,0,小客車,男,21,不明
2023,1,20230112,5,基隆市中正區中正路附近 / 基隆市中正區中正路附近,基隆市,中正區,晴,市區道路,交叉口附近,其他,不明原因肇事,1,0,人,男,51,非駕駛人
2023,1,20230112,5,基隆市中正區中正路附近 / 基隆市中正區中正路附近,基隆市,中正區,晴,市區道路,交叉口附近,其他,不明原因肇事,1,0,小貨車(含客、貨兩用),男,53,不明
2023,1,20230112,5,基隆市中正區中正路附近 / 基隆市中正區中正路附近,基隆市,中正區,晴,市區道路,交叉口附近,其他,不明原因肇事,1,0,小客車,女,46,不明
2023,1,20230112,10,高雄市茄萣區正順北路崎漏281路燈號前0.0公尺,高雄市,茄萣區,晴,市區道路,路肩、路緣,撞路樹、電桿,超速失控,1,0,機車,男,20,未使用
2023,1,20230112,10,高雄市茄萣區正順北路崎漏281路燈號前0.0公尺,高雄市,茄萣區,晴,市區道路,路肩、路緣,撞路樹、電桿,超速失控,1,0,不明,無或物(動物、堆置物),112,不明
2023,1,20230112,12,臺中市大里區西湖里景庄街 / 臺中市大里區西湖里草湖路,臺中市,大里區,晴,市區道路,一般車道(未劃分快慢車道),側撞,未依規定讓車,1,0,小客車,男,28,未使用
2023,1,20230112,12,臺中市大里區西湖里景庄街 / 臺中市大里區西湖里草湖路,臺中市,大里區,晴,市區道路,一般車道(未劃分快慢車道),側撞,未依規定讓車,1,0,機車,男,18,未使用
